"Company";"TypeName";"Inches";"Resolution_Width";"Resolution_Height";"Touchscreen_or_Not";"CPU_Brand";"CPU_Name";"CPU_Speed(in GHz)";"Ram";"Memory_Type";"Primary_Memory";"Secondary_Memory";"Gpu_Brand";"Weight";"Price";"OpSys_Standardized"
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";128;0;"Intel";1.37;71379;"macOS"
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;"Intel";1.34;47896;"macOS"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";1.86;30636;"N/A"
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"AMD";1.83;135195;"macOS"
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";256;0;"Intel";1.37;96096;"macOS"
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";2.1;21312;"Windows"
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;"Intel";2.04;114018;"Others"
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;"Intel";1.34;61736;"macOS"
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";1.3;79654;"Windows"
"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";1.6;41026;"Windows"
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";1.86;20987;"N/A"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";1.86;18381;"N/A"
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.8;16;"SSD";256;0;"AMD";1.83;130002;"macOS"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";2.2;26581;"Windows"
"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"SSD";256;0;"Intel";0.92;67261;"macOS"
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";1.37;80908;"macOS"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";2.2;39694;"Windows"
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.9;16;"SSD";512;0;"AMD";1.83;152274;"macOS"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";2.2;26587;"N/A"
"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";128;0;"Intel";1.22;52161;"Windows"
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";2.5;53227;"Windows"
